y/delta,y+,u'u',w'w',v'v',u'w',u'v',w'v',k,u+,dU/dy,v+,P
0.000000000000000e+00,0.000000000000000e+00,1.509945016220432e-34,0.000000000000000e+00,2.849189461256958e-34,0.000000000000000e+00,-4.268949112896188e-37,0.000000000000000e+00,2.179567238738695e-34,0.000000000000000e+00,9.999999999999999e-01,0.000000000000000e+00,0.000000000000000e+00
2.764315143122253e-06,2.765729439839074e-03,1.341024401271959e-06,9.232769096936697e-15,5.838997669273642e-07,-2.162830023471563e-11,-4.927590014357170e-10,-8.961228562540020e-16,9.624620887160461e-07,2.765725617133860e-03,9.999972356421352e-01,-1.990169667639455e-07,-9.232769096936708e-15
1.382146873540879e-05,1.382854016425900e-02,3.351622327912695e-05,5.750532684850959e-12,1.455713573845603e-05,-2.706425522426997e-09,-1.233396280285226e-08,-1.146318727979537e-13,2.403668238405783e-05,1.382844458687292e-02,9.999861752418771e-01,-9.950768741789789e-07,-5.750532684850961e-12
3.869966314673512e-05,3.871946291763557e-02,2.626071231595128e-04,3.507267051801631e-10,1.134218302969532e-04,-5.955458784427441e-08,-9.696006585909180e-08,-2.641325478323223e-12,1.880146520915856e-04,3.871871306724336e-02,9.999612361812739e-01,-2.786177776482700e-06,-3.507267051801633e-10
8.292656586705860e-05,8.296899329076779e-02,1.204591713100392e-03,7.293990120801097e-09,5.151239885874827e-04,-5.884895271080349e-07,-4.473113550665417e-07,-2.803061947916733e-11,8.598614978389978e-04,8.296554035143106e-02,9.999164637380789e-01,-5.970243628641326e-06,-7.293990120801102e-09
1.520290955829839e-04,1.521068776879944e-01,4.042497478422349e-03,8.065319796816872e-08,1.702085122150085e-03,-3.650006032563008e-06,-1.513992761659238e-06,-1.901565594371922e-10,2.872331626885201e-03,1.520951733346186e-01,9.998442493847887e-01,-1.094498944208107e-05,-8.065319796816876e-08
2.515332082846378e-04,2.516618993246350e-01,1.104335695386771e-02,5.861158108652951e-07,4.547173981902295e-03,-1.668320922772530e-05,-4.183716860081545e-06,-9.546597406803823e-10,7.795558525790435e-03,2.516291874263023e-01,9.997315874361384e-01,-1.810757897428993e-05,-5.861158108652958e-07
3.869636834078483e-04,3.871616642597545e-01,2.606994658534013e-02,3.149546037480441e-06,1.041418949607041e-02,-6.146762710021536e-05,-1.001828641547949e-05,-3.812084455331958e-09,1.824364281372401e-02,3.870807860800715e-01,9.995511042389080e-01,-2.785391178724982e-05,-3.149546037480442e-06
5.610795948808311e-04,5.613666580367414e-01,5.464432791827076e-02,1.320151107891895e-05,2.099901335998530e-02,-1.900230311192483e-04,-2.134311983511687e-05,-1.237295650008017e-08,3.782827139466749e-02,5.611825616824662e-01,9.992479211326145e-01,-4.037860336973397e-05,-1.320151107891896e-05
7.738742043458258e-04,7.742701388503129e-01,1.036010799640970e-01,4.479966916546452e-05,3.798571272552903e-02,-5.062137030063628e-04,-4.116234629970130e-05,-3.303090752055889e-08,7.081579617939573e-02,7.738731657635868e-01,9.987180556272499e-01,-5.567407344617931e-05,-4.479966916546456e-05
1.025339276563786e-03,1.025863867248057e+00,1.811641094009454e-01,1.280522848596508e-04,6.288648820931640e-02,-1.195072133669948e-03,-7.320106651983302e-05,-7.374956589082899e-08,1.220893249475607e-01,1.025034151098282e+00,9.977763317033165e-01,-7.372845597227514e-05,-1.280522848596509e-04
1.315465079733014e-03,1.316138106449228e+00,2.967860144386593e-01,3.184164767140252e-04,9.684953654441679e-02,-2.556330145092161e-03,-1.218051359668328e-04,-1.391574231108832e-07,1.969769837298951e-01,1.314439536316204e+00,9.961228512907723e-01,-9.452351919431940e-05,-3.184164767140254e-04
1.644240385865192e-03,1.645081622720975e+00,4.607926662048991e-01,7.062468983145331e-04,1.405196889538102e-01,-5.036235016585591e-03,-1.917010864181448e-04,-2.216015852822317e-07,3.010093010285119e-01,1.641675513754498e+00,9.933111838537267e-01,-1.180296378284978e-04,-7.062468983145341e-04
2.011652471220593e-03,2.012681685813766e+00,6.836945555859292e-01,1.424410543187458e-03,1.939680030248177e-01,-9.247040375995799e-03,-2.875583269624599e-04,-2.908000574691600e-07,4.395434845769671e-01,2.006025067961820e+00,9.887288867828111e-01,-1.441953932217653e-04,-1.424410543187459e-03
